ing,ing_func,cir,ewg
Vitis Vinifera (Grape) Seed Extract,"['Anticaries Agent', 'Antidandruff Agent', 'Antifungal Agent', 'Antimicrobial Agent', 'Antioxidant', 'Sunscreen Agent', 'Uv Absorber']",A,1.0
Gentiana Lutea Root Extract,['Skin Conditioning'],nan,1.0
Psidium Guajava Fruit Extract,"['Astringent', 'Skin Conditioning']",nan,1.0
Glycyrrhetinic Acid,['Skin Conditioning'],A,1.0
Di-C12-15 Alkyl Fumarate,"['Emollient', 'Skin Conditioning', 'Solvent']",A,1.0
Dipropylene Glycol Dibenzoate,"['Emollient', 'Skin Conditioning']",nan,1.0
Rosmarinus Officinalis (Rosemary) Leaf Extract,"['Antimicrobial Agent', 'Antioxidant', 'Fragrance', 'Perfuming', 'Skin-Conditioning Agent - Occlusive', 'Skin-Conditioning Agent -Miscellaneous']",B,1.0
Triticum Vulgare (Wheat) Germ Extract,"['Skin Bleaching Agent', 'Skin Conditioning']",nan,1.0
Butyloctyl Salicylate,"['Hair Conditioning', 'Skin Conditioning', 'Solvent']",B,1.0
Cyclodextrin,"['Absorbent', 'Chelating Agent']",A,1.0
Cetyl Ricinoleate,"['Emollient', 'Skin Conditioning']",B,1.0
Sodium Dehydroacetate,['Preservative'],A,1.0
Squalane,"['Emollient', 'Hair Conditioning', 'Refatting', 'Skin Conditioning']",A,1.0
Artemia Extract,['Skin Conditioning'],nan,1.0
Ergothioneine,['Antioxidant'],nan,1.0
Caprylic/Capric Triglyceride,"['Emollient', 'Masking', 'Perfuming', 'Skin Conditioning', 'Solvent']",A,1.0
Thermus Thermophillus Ferment,['Skin Conditioning'],nan,1.0
Tetrahexyldecyl Ascorbate,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate,['Antioxidant'],A,1.0
Pentylene Glycol,"['Skin Conditioning', 'Solvent']",A,1.0
Polysilicone-11,['Film Forming'],nan,1.0
Fumaric Acid,"['Buffering Agent', 'Fragrance', 'Ph Adjuster']",A,1.0
PPG-15 Stearyl Ether Benzoate,"['Emollient', 'Skin Conditioning']",nan,1.0
Polygonum Cuspidatum Root Extract,['Antioxidant'],nan,1.0
Hordeum Vulgare Extract,"['Emollient', 'Skin Conditioning']",nan,1.0
Butyl Methoxydibenzoylmethane,"['Uv Absorber', 'Uv Filter']",nan,2.0
CI 42090,"['Colorant', 'Cosmetic Colorant']",nan,2.0
Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone,"['Hair Conditioning', 'Skin Conditioning', 'Surfactant']",A,3.0
Steareth-2,"['Emulsifying', 'Surfactant']",B,3.0
Urea,"['Antistatic Agent', 'Buffering Agent', 'Humectant', 'Skin Conditioning']",A,3.0
Hydrolyzed Rice Bran Extract,['Skin Conditioning'],A,3.0
Hydrolyzed Rice Extract,"['Hair Conditioning', 'Skin Conditioning']",A,3.0
CI 19140,"['Colorant', 'Cosmetic Colorant']",nan,3.0
Ethylhexyl Salicylate,"['Uv Absorber', 'Uv Filter']",nan,4.0
BHT,"['Antioxidant', 'Fragrance', 'Masking']",A,6.0
Citrus Limon (Lemon) Fruit Extract,[''],B,2.0
Chromium Hydroxide Green,"['Cosmetic Colorant', 'Hair Dyeing']",nan,4.0
Disodium Cocoamphodiacetate,"['Foam Boosting', 'Hair Conditioning', 'Hydrotrope', 'Skin Conditioning', 'Sufactant']",A,1.0
Dipropylene Glycol,"['Fragrance', 'Masking', 'Solvent', 'Viscosity Controlling', 'Viscosity Decreasing Agent']",A,1.0
Lauric Acid,"['Emulsifying', 'Fragrance']",A,1.0
Lepidium Meyenii Root Extract,"['Humectant', 'Skin Conditioning']",nan,1.0
Myristic Acid,"['Emulsifying', 'Fragrance', 'Opacifying', 'Perfuming', 'Sufactant']",A,1.0
Pyrus Malus (Apple) Fruit Extract,"['Proprietary', 'Skin Conditioning']",nan,1.0
Sodium Cocoyl Apple Amino Acids,"['Foam Boosting', 'Hair Conditioning', 'Skin Conditioning', 'Surfactant - Foambooster']",B,1.0
Rice Ferment Filtrate (Sake),['Skin Conditioning'],nan,1.0
Arginine,"['Antistatic Agent', 'Fragrance', 'Hair Conditioning', 'Masking', 'Skin Conditioning']",A,1.0
Citrus Aurantium Dulcis (Orange) Fruit Extract,"['Fragrance', 'Masking', 'Skin Conditioning']",B,1.0
Caramel,"['Colorant', 'Cosmetic Colorant', 'Fragrance', 'Masking']",nan,1.0
Carica Papaya (Papaya) Fruit Extract,['Skin Conditioning'],nan,1.0
Potassium Cocoyl Glycinate,"['Hair Conditioning', 'Surfactant']",B,1.0
Polyglyceryl-10 Laurate,"['Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Potassium Hydroxide,"['Buffering Agent', 'Ph Adjuster']",B,3.0
PEG-60 Hydrogenated Castor Oil,"['Fragrance', 'Sufactant', 'Surfactant']",B,3.0
Cocamidopropyl Betaine,"['Antistatic Agent', 'Foam Boosting', 'Hair Conditioning', 'Skin Conditioning', 'Sufactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,4.0
Glycine,"['Antistatic Agent', 'Buffering Agent', 'Fragrance', 'Hair Conditioning', 'Skin Conditioning', 'Skin-Conditioning Agent -Miscellaneous']",A,1.0
Glutamic Acid,"['Antistatic Agent', 'Fragrance', 'Hair Conditioning', 'Humectant']",A,1.0
