ing,ing_func,cir,ewg
Hydrolyzed Opuntia Ficus-Indica Flower Extract,"['Abrasive', 'Skin Protecting']",nan,1.0
Eugenia Caryophyllus (Clove) Leaf Oil,"['Fragrance', 'Masking']",nan,5.0
Eugenol,"['Denaturant', 'Fragrance', 'Masking', 'Tonic']",nan,7.0
Aluminum Silicate,"['Abrasive', 'Absorbent', 'Anticaking Agent', 'Bulking Agent', 'Opacifying', 'Slip Modifier']",A,2.0
Citral,"['Flavoring Agent', 'Fragrance', 'Masking']",nan,7.0
Diethylhexyl Syringylidenemalonate,['Skin Protecting'],nan,1.0
Cassia Alata Leaf Extract,['Cosmetic Astringent'],nan,1.0
Camellia Japonica Seed Oil,"['Emollient', 'Skin Conditioning']",A,1.0
Oleic/Linoleic/Linolenic Polyglycerides,"['Binding', 'Emollient', 'Emulsion Stabilising', 'Surfactant', 'Viscosity Controlling']",nan,1.0
Salvia Hispanica Seed Oil,"['Moisturising', 'Skin Conditioning']",nan,1.0
Hydroxymethyl Dioxolanone,['Solvent'],nan,1.0
Helianthus Annuus (Sunflower) Extract,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",B,1.0
Calophyllum Inophyllum Seed Oil,"['Antimicrobial', 'Antioxidant', 'Hair Conditioning', 'Skin Conditioning', 'Uv Absorber']",nan,1.0
Sodium Palmate,"['Emulsifying', 'Sufactant', 'Surfactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Polyquaternium-67,"['Antistatic Agent', 'Film Forming', 'Hair Conditioning']",nan,1.0
Hydrolyzed Corn Starch,"['Binding', 'Humectant', 'Skin Conditioning', 'Viscosity Controlling']",A,1.0
Hydrolyzed Corn Starch Octenylsuccinate,"['Absorbent', 'Binding', 'Film Forming']",A,1.0
Cocamidopropyl Dimethylamine,"['Antistatic Agent', 'Emulsifying', 'Hair Conditioning', 'Surfactant']",nan,2.0
Butylene Glycol Dicaprylate/Dicaprate,"['Emollient', 'Skin Conditioning']",nan,1.0
Squalene,"['Antistatic Agent', 'Emollient', 'Hair Conditioning', 'Refatting', 'Skin Conditioning']",A,1.0
Potassium Behenate,"['Cleansing', 'Surfactant']",nan,1.0
Potassium Stearate,"['Cleansing', 'Emulsifying', 'Surfactant']",A,1.0
Potassium Isostearate,['Surfactant'],nan,1.0
Dimer Dilinoleyl Dimer Dilinoleate,"['Binding', 'Binding Agent', 'Emollient', 'Hair Conditioning', 'Skin Conditioning', 'Skin-Conditioningagent - Occlusive', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Diphenylsiloxy Phenyl Trimethicone,"['Antifoaming Agent', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Stearoyl Inulin,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",A,1.0
Polyglyceryl-10 Diisostearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Polyglyceryl-3 Caprylate,"['Emulsifying', 'Surfactant']",B,1.0
Polyglyceryl-6 Octastearate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,1.0
Phytosteryl Isostearate,"['Hair Conditioning', 'Skin Conditioning']",A,1.0
Glyceryl Behenate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",A,4.0
Salix Nigra (Willow) Bark Extract,[''],nan,1.0
Hydrolyzed Jojoba Esters,"['Emulsifying', 'Emulsion Stabilising', 'Film Forming', 'Hair Conditioning', 'Skin Conditioning', 'Skin-Conditioning Agent -Occlusive', 'Surfactant']",A,1.0
PEG-80 Sorbitan Laurate,"['Emulsifying', 'Fragrance', 'Sufactant', 'Surfactant']",B,5.0
Magnesium Aspartate,['Skin Conditioning'],A,1.0
Vitamin B,['Skin Conditioning'],nan,1.0
Saccharide Isomerate,['Humectant'],nan,1.0
Sodium Lauroyl Glutamate,"['Antistatic Agent', 'Hair Conditioning', 'Surfactant']",B,1.0
Disodium Laureth Sulfosuccinate,"['Foam Boosting', 'Foaming', 'Hydrotrope', 'Sufactant']",B,2.0
CI 47005,"['Colorant', 'Cosmetic Colorant']",nan,3.0
Phytic Acid,['Chelating Agent'],nan,1.0
PPG-26,['Skin Conditioning'],B,1.0
Ceteth-20,"['Cleansing', 'Emulsifying', 'Surfactant']",B,2.0
Rubus Idaeus (Raspberry) Fruit Extract,['Skin Conditioning'],nan,1.0
Cymbopogon Schoenanthus Extract,"['Skin Conditioning', 'Soothing']",nan,1.0
Nasturtium Officinale Extract,"['Perfuming', 'Skin Conditioning']",nan,1.0
Santalum Album (Sandalwood) Wood Extract,['Skin-Conditioning Agent - Occlusive'],nan,1.0
Maranta Arundinacea Root Extract,['Smoothing'],nan,1.0
Aleurites Moluccana Seed Extract,['Skin Conditioning'],nan,1.0
Activated Charcoal,[''],nan,1.0
Hydrolyzed Yogurt Protein,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
PEG-12 Dimethicone,"['Hair Conditioning', 'Skin Conditioning']",A,3.0
Triticum Vulgare (Wheat) Germ Oil,"['Emollient', 'Skin Conditioning']",A,1.0
Spirulina Platensis Extract,['Skin Protecting'],nan,1.0
Chlorella Vulgaris Extract,['Skin Conditioning'],nan,1.0
Carum Petroselinum (Parsley) Extract,['Skin Conditioning'],nan,1.0
Ceteareth-20,"['Cleansing', 'Emulsifying', 'Surfactant']",B,3.0
Cholesteryl Hydroxystearate,"['Emollient', 'Skin Conditioning', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Potassium Laurate,"['Emulsifying', 'Sufactant', 'Surfactant']",nan,1.0
Potassium Myristate,"['Emulsifying', 'Sufactant', 'Surfactant']",A,1.0
Potassium Palmitate,"['Emulsifying', 'Sufactant', 'Surfactant']",nan,2.0
PEG-8 Distearate,"['Emulsifying', 'Surfactant']",B,3.0
Polyvinyl Alcohol,"['Binding Agent', 'Film Forming', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Carthamus Tinctorius (Safflower) Flower Extract,['Skin Conditioning'],nan,1.0
Ammonium Acrylates Copolymer,"['Antistatic Agent', 'Binding', 'Binding Agent', 'Film Forming', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,2.0
Cetrimonium Bromide,"['Antimicrobial', 'Antistatic Agent', 'Cosmetic Biocide', 'Emulsifying', 'Preservative', 'Surfactant']",B,3.0
Spinacia Oleracea (Spinach) Leaf Extract,['Skin Conditioning'],nan,1.0
Pantolactone,['Humectant'],nan,1.0
Potassium Chloride,"['Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
Nepeta Cataria Extract,"['Fragrance', 'Tonic']",nan,1.0
Aesculus Hippocastanum (Horse Chestnut) Leaf Extract,[''],nan,1.0
Althaea Officinalis Root Extract,['Skin Conditioning'],nan,1.0
Spiraea Ulmaria Flower Extract,['Skin Conditioning'],nan,1.0
Stellaria Media (Chickweed) Extract,['Skin Conditioning'],nan,1.0
Vaccinium Myrtillus Fruit Extract,['Skin Conditioning'],nan,1.0
Alchemilla Vulgaris Leaf Extract,"['Antioxidant', 'Astringent', 'Skin Conditioning']",nan,1.0
Equisetum Arvense Leaf Extract,"['Astringent', 'Emollient', 'Soothing', 'Tonic']",nan,1.0
Euphrasia Officinalis Extract,"['Antimicrobial', 'Astringent', 'Skin Conditioning', 'Soothing', 'Tonic']",nan,1.0
Baptisia Tinctoria Root Extract,['Skin Conditioning'],nan,1.0
Saposhnikovia Divaricata Root Extract,['Antimicrobial'],nan,1.0
Lauramide DEA,"['Antistatic Agent', 'Foam Boosting', 'Viscosity Controlling', 'Viscosity Increasing Agent']",B,3.0
Diisostearyl Malate,"['Emollient', 'Skin Conditioning', 'Surfactant']",A,1.0
Sodium Magnesium Silicate,"['Binding', 'Binding Agent', 'Bulking Agent', 'Viscosity Controlling']",A,1.0
Triisostearin,"['Emollient', 'Skin Conditioning', 'Solvent', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Polysilicone-2,"['Antifoaming Agent', 'Hair Conditioning']",nan,1.0
Macadamia Ternifolia (Macadamia) Nut Oil,[''],nan,1.0
Arginine PCA,"['Humectant', 'Skin Conditioning']",nan,1.0
Oleth-12,"['Emulsifying', 'Fragrance', 'Surfactant']",nan,3.0
Chlorhexidine Digluconate,"['Antimicrobial', 'Cosmetic Biocide', 'Preservative']",B,4.0
Diphenyl Dimethicone,"['Antifoaming Agent', 'Emollient', 'Emulsifying', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Menthyl PCA,"['Humectant', 'Skin Conditioning']",nan,1.0
Ceramide 2,"['Hair Conditioning', 'Skin Conditioning']",A,1.0
Sucrose Palmitate,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",nan,1.0
Ethyl Menthane Carboxamide,"['Flavoring Agent', 'Fragrance', 'Tonic']",nan,1.0
Triethylhexanoin,"['Antistatic Agent', 'Emollient', 'Fragrance', 'Hair Conditioning', 'Masking', 'Refatting', 'Skin Conditioning', 'Solvent']",A,1.0
Chamaecyparis Obtusa Water,"['Fragrance', 'Masking']",nan,1.0
Phospholipids,['Skin Conditioning'],A,1.0
PEG-10 Rapeseed Sterol,"['Emulsifying', 'Sufactant', 'Surfactant']",nan,3.0
Ammonium Polyacrylate,"['Emulsion Stabilising', 'Film Forming', 'Stabilising', 'Surfactant']",B,2.0
Retinyl Propionate,['Skin Conditioning'],nan,9.0
Sophora Angustifolia Root Extract,['Skin Conditioning'],nan,1.0
Rosa Canina Flower Extract,['Astringent'],nan,1.0
Moringa Oleifera Seed Extract,['Skin Conditioning'],nan,1.0
Lens Esculenta (Lentil) Fruit Extract,['Skin Conditioning'],nan,1.0
Citrullus Vulgaris (Watermelon) Fruit Extract,['Skin Conditioning'],nan,1.0
Narcissus Tazetta Bulb Extract,"['Astringent', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Propylene Carbonate,"['Solvent', 'Viscosity Controlling', 'Viscosity Decreasing Agent']",A,1.0
Linoleamidopropyl PG-Dimonium Chloride Phosphate,['Antistatic Agent'],nan,1.0
Hordeum Vulgare Seed Extract,['Skin Conditioning'],nan,1.0
Tartaric Acid,"['Buffering Agent', 'Fragrance', 'Masking', 'Ph Adjuster']",nan,1.0
Foeniculum Vulgare (Fennel) Oil,"['Emollient', 'Fragrance', 'Skin Conditioning', 'Soothing', 'Tonic']",nan,1.0
Artemisia Princeps Extract,['Skin Conditioning'],nan,1.0
Agar,"['Binding', 'Binding Agent', 'Fragrance', 'Masking', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Cucumis Sativus (Cucumber) Seed Extract,['Skin Conditioning'],A,1.0
Camphor,"['Denaturant', 'External Analgesic', 'Fragrance', 'Masking', 'Plasticizer']",nan,2.0
Azelaic Acid,"['Buffering Agent', 'Fragrance', 'Masking', 'Ph Adjuster']",A,1.0
Cocoglycerides,"['Emollient', 'Emulsifying', 'Skin Conditioning']",A,1.0
Prunus Persica (Peach) Fruit Extract,"['Moisturising', 'Skin Conditioning']",nan,1.0
Acetyl Octapeptide-3,"['Humectant', 'Skin Conditioning']",nan,1.0
Solanum Tuberosum (Potato) Pulp Extract,[''],nan,1.0
Daucus Carota Sativa (Carrot) Root Extract,['Perfuming'],nan,1.0
Cetyl Hydroxyethylcellulose,"['Emulsion Stabilising', 'Film Forming', 'Viscosity Controlling', 'Viscosity Increasing Agent']",A,1.0
Cucurbita Pepo (Pumpkin) Extract,['Skin Conditioning'],nan,1.0
Ophiopogon Japonicus Root Extract,"['Humectant', 'Skin Conditioning', 'Tonic']",nan,1.0
Hydroxyethylpiperazine Ethane Sulfonic Acid,['Buffering Agent'],nan,1.0
Citrus Aurantium Bergamia (Bergamot) Leaf Extract,['Cosmetic Astringent'],nan,1.0
Citrus Tangerina (Tangerine) Extract,['Tonic'],nan,1.0
Hydrolyzed Corn Protein,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning']",A,1.0
Ethyl Hexanediol,"['Fragrance', 'Solvent']",A,3.0
Sodium Palmitoyl Proline,['Skin Conditioning'],B,1.0
Nymphaea Alba Flower Extract,"['Skin Conditioning', 'Tonic']",nan,1.0
Tetrasodium Pyrophosphate,"['Anticaking Agent', 'Anticorrosive', 'Buffering Agent', 'Chelating Agent', 'Ph Adjuster']",B,1.0
Octyldodecyl Neopentanoate,"['Emollient', 'Skin Conditioning']",B,1.0
Colloidal Oatmeal,"['Abrasive', 'Absorbent', 'Bulking Agent', 'Skin Protecting']",nan,1.0
Chrysanthemum Parthenium (Feverfew) Extract,['Skin Conditioning'],nan,1.0
Eugenia Caryophyllus (Clove) Flower Oil,"['Denaturant', 'Fragrance']",nan,5.0
Hexyldecyl Stearate,"['Emollient', 'Skin Conditioning']",B,1.0
Oleth-10 Phosphate,"['Emulsifying', 'Surfactant']",nan,2.0
TEA-Carbomer,"['Gel Forming', 'Viscosity Controlling']",nan,2.0
Imidazolidinyl Urea,['Preservative'],A,6.0
Rubus Idaeus (Raspberry) Fruit,"['Cosmetic Astringent', 'Skin Conditioning']",nan,1.0
Carbon Black,['Cosmetic Colorant'],nan,6.0
Ceteth-10,"['Emulsifying', 'Surfactant']",B,2.0
Sodium Carboxymethyl Beta-Glucan,"['Binding', 'Cleansing', 'Viscosity Controlling']",A,1.0
Stearyl Glycyrrhetinate,"['Flavoring Agent', 'Skin Conditioning', 'Soothing']",A,1.0
Hydroxyphenyl Propamidobenzoic Acid,['Skin Conditioning'],nan,1.0
Oenothera Biennis (Evening Primrose),[''],nan,1.0
Avena Sativa (Oat),[''],nan,1.0
Hypericum Perforatum Oil,['Emollient'],nan,1.0
Centaurea Cyanus Flower Extract,"['Astringent', 'Skin Conditioning']",nan,1.0
Tilia Cordata Flower Extract,['Skin Conditioning'],nan,1.0
Dimethyl Isosorbide,"['Solvent', 'Viscosity Controlling', 'Viscosity Decreasing Agent']",nan,1.0
Cetyl Acetate,"['Emollient', 'Fragrance', 'Masking', 'Skin Conditioning']",A,1.0
Sodium Linoleate,"['Cleansing', 'Emulsifying', 'Surfactant', 'Viscosity Controlling']",nan,1.0
Sodium Oleate,"['Emulsifying', 'Sufactant', 'Surfactant', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,2.0
Acetylated Lanolin Alcohol,"['Antistatic Agent', 'Emollient', 'Emulsifying', 'Hair Conditioning', 'Skin Conditioning', 'Skin-Conditioning Agent -Occlusive']",A,2.0
TEA-Stearate,"['Cleansing', 'Emulsifying', 'Surfactant']",B,3.0
C12-20 Alkyl Glucoside,"['Emulsifying', 'Surfactant']",B,1.0
C14-22 Alcohols,['Emulsion Stabilising'],nan,1.0
Glycosphingolipids,"['Emollient', 'Skin Conditioning']",nan,1.0
Glyceryl Citrate/Lactate/Linoleate/Oleate,"['Emollient', 'Emulsifying', 'Skin Conditioning']",A,1.0
Neopentyl Glycol Dicaprate,"['Emollient', 'Skin Conditioning', 'Viscosity Increasing Agent']",nan,1.0
Eruca Sativa Leaf Extract,"['Antiseborrhoeic', 'Skin Conditioning', 'Tonic']",nan,1.0
Meadowfoam Estolide,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",nan,1.0
Batyl Alcohol,"['Emollient', 'Emulsion Stabilising', 'Skin Conditioning']",A,1.0
Ethylhexyl Isononanoate,"['Emollient', 'Skin Conditioning']",B,1.0
Camellia Oleifera Seed Oil,"['Emollient', 'Skin Conditioning', 'Solvent']",A,1.0
Glycine Soja (Soybean) sprout Extract,"['Emollient', 'Skin Conditioning']",nan,1.0
Hibiscus Sabdariffa Flower Extract,['Skin Conditioning'],nan,1.0
Laureth-8,"['Emulsifying', 'Surfactant']",B,3.0
PEG-11 Methyl Ether Dimethicone,"['Hair Conditioning', 'Skin Conditioning', 'Surfactant - Emulsifyingagent']",A,3.0
C20-22 Alcohols,"['Binding', 'Binding Agent', 'Emulsion Stabilising', 'Viscosity Controlling', 'Viscosity Increasing Agent']",nan,1.0
C20-22 Alkyl Phosphate,"['Emulsifying', 'Surfactant']",B,1.0
Ectoin,"['Buffering Agent', 'Emollient', 'Skin Conditioning']",nan,1.0
PTFE,['Bulking Agent'],nan,5.0
Egg Yolk Extract,"['Emulsifying', 'Hair Conditioning', 'Skin Conditioning', 'Surfactant']",nan,1.0
Benzoyl Peroxide,"['Antiacne Agent', 'Oxidising Agent']",nan,3.0
Moringa Pterygosperma Seed Extract,['Skin Conditioning'],nan,1.0
Collagen,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Vitis Vinifera (Grape) Root Extract,[''],A,1.0
Glyceryl Oleate,"['Emollient', 'Emulsifying', 'Fragrance', 'Perfuming', 'Skin Conditioning', 'Surfactant']",A,1.0
PEG-90 Glyceryl Isostearate,['Cleansing'],nan,3.0
Myreth-3 Myristate,"['Emollient', 'Skin Conditioning', 'Surfactant']",nan,1.0
Vaccinium Macrocarpon (Cranberry) Seed Oil,['Skin Conditioning'],A,1.0
Arctostaphylos Uva Ursi Leaf Extract,['Skin Conditioning'],nan,1.0
Stearyl Dimethicone,"['Emollient', 'Skin Conditioning']",A,1.0
Tetrahydrodiferuloylmethane,['Antioxidant'],nan,1.0
Tocotrienols,"['Skin Conditioning', 'Uv Absorber']",A,1.0
Haematococcus Pluvialis Extract,['Antioxidant'],nan,1.0
Tetrahydrodemethoxydiferuloylmethane,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Tetrahydrobisdemethoxydiferuloylmethane,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Rubus Idaeus (Raspberry) Seed Oil,"['Emollient', 'Skin Conditioning']",A,1.0
Leptospermum Petersonii Oil,"['Fragrance', 'Masking', 'Pesticide']",nan,1.0
Beeswax (Cera Alba),"['Binding Agent', 'Emollient', 'Emulsifying', 'Emulsion Stabilising', 'Epilating Agent', 'Film Forming', 'Fragrance', 'Perfuming', 'Skin-Conditioning Agent -Miscellaneous', 'Surfactant', 'Viscosity Increasing Agent']",nan,1.0
4-Terpineol,['Masking'],nan,1.0
Laminaria Digitata,[''],nan,1.0
Nonoxynol-12,"['Cleansing', 'Emulsifying', 'Surfactant']",B,4.0
HDI/Trimethylol Hexyllactone Crosspolymer,['Anticaking Agent'],A,1.0
Lamium Album Flower Extract,"['Astringent', 'Skin Conditioning']",nan,1.0
Hamamelis Virginiana (Witch Hazel) Leaf Extract,"['Cosmetic Astringent', 'Skin Conditioning']",nan,1.0
Cucumis Sativus (Cucumber) Oil,"['Emollient', 'Skin Conditioning']",nan,1.0
Paullinia Cupana (Guarana) Extract,[''],nan,1.0
Punica Granatum (Pomegranate),[''],nan,1.0
Sapindus Mukurossi Peel Extract,['Skin Conditioning'],nan,1.0
Hydroxyproline,"['Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning', 'Surfactant']",nan,1.0
Oleyl Oleate,"['Emollient', 'Hair Conditioning', 'Skin Conditioning']",B,1.0
Sebacic Acid,"['Buffering Agent', 'Ph Adjuster']",A,1.0
Propylene Glycol Stearate,"['Emollient', 'Emulsifying', 'Fragrance', 'Skin Conditioning', 'Surfactant']",B,1.0
Camellia Sinensis Leaf,"['Perfuming', 'Skin Conditioning']",B,1.0
Hydroxycitronellal,"['Fragrance', 'Masking']",nan,7.0
Rosa Centifolia Flower Oil,"['Fragrance', 'Masking', 'Tonic']",nan,1.0
Calendula Officinalis Flower Oil,"['Masking', 'Perfuming', 'Skin Conditioning']",A,1.0
Egg,"['Hair Conditioning', 'Skin Conditioning']",nan,1.0
Schizandra Chinensis Fruit Extract,['Skin Conditioning'],nan,1.0
Alpha-Arbutin,"['Antioxidant', 'Skin Conditioning']",nan,1.0
Rumex Crispus Root Extract,"['Skin Conditioning', 'Soothing']",nan,1.0
Betula Platyphylla Japonica Juice,['Skin Conditioning'],nan,1.0
Citrus Paradisi (Grapefruit) Fruit Extract,['Skin Conditioning'],B,2.0
Palmitoyl Grape Seed Extract,"['Antioxidant', 'Skin Conditioning', 'Skin Protecting']",nan,1.0
Vitis Vinifera (Grape) Fruit Water,['Skin Conditioning'],A,1.0
Vitis Vinifera (Grape) Juice,['Skin Conditioning'],A,1.0
Hexyldecyl Laurate,"['Emollient', 'Skin Conditioning']",B,1.0
Hexyldecanol,"['Emollient', 'Humectant', 'Skin Conditioning', 'Solvent']",nan,1.0
Homarine HCl,['Skin Conditioning'],nan,1.0
C12-15 Alkyl Lactate,"['Emollient', 'Skin Conditioning']",nan,1.0
Sodium Benzotriazolyl Butylphenol Sulfonate,['Uv Absorber'],A,1.0
PEG/PPG-20/6 Dimethicone,['Emulsifying'],A,3.0
Cetyl Lactate,"['Emollient', 'Skin Conditioning']",B,4.0
Honey Extract,"['Humectant', 'Moisturising', 'Skin Conditioning']",nan,1.0
Epilobium Angustifolium Leaf Extract,['Skin Conditioning'],nan,1.0
Triacetin,"['Antimicrobial', 'Cosmetic Biocide', 'Film Forming', 'Fragrance', 'Masking', 'Plasticizer', 'Solvent']",A,1.0
Opuntia Tuna Fruit Extract,['Skin Conditioning'],nan,1.0
Saccharomyces/Copper Ferment,['Skin Conditioning'],nan,1.0
Saccharomyces/Magnesium Ferment,[''],nan,1.0
Saccharomyces/Silicon Ferment,['Skin Conditioning'],nan,1.0
Saccharomyces/Iron Ferment,['Skin Conditioning'],nan,2.0
Saccharomyces/Zinc Ferment,['Skin Conditioning'],nan,3.0
Laureth-23,"['Cleansing', 'Emulsifying', 'Surfactant']",B,3.0
Capsicum Frutescens Fruit Extract,['Skin Conditioning'],B,1.0
Sulfur,"['Antiacne Agent', 'Antidandruff Agent', 'Antiseborrhoeic', 'Antistatic Agent', 'Hair Conditioning', 'Skin Conditioning', 'Skin-Conditioning Agent -Miscellaneous']",nan,1.0
Sodium Salicylate,"['Denaturant', 'Preservative']",B,1.0
Quillaja Saponaria Bark Extract,"['Antidandruff Agent', 'Cleansing', 'Emulsifying', 'Foaming', 'Masking', 'Moisturising', 'Skin Conditioning', 'Surfactant']",nan,1.0
TEA-Lactate,"['Humectant', 'Skin Conditioning']",B,4.0
Brassica Campestris (Rapeseed) Sterols,"['Emollient', 'Skin Conditioning']",A,1.0
o-Cymen-5-ol,"['Cosmetic Biocide', 'Preservative']",B,2.0
Fucus Vesiculosus Extract,"['Emollient', 'Skin Conditioning', 'Smoothing', 'Soothing']",nan,1.0
Sodium Oxide,"['Buffering Agent', 'Ph Adjuster']",nan,1.0
Silk Extract,['Skin Conditioning'],A,1.0
Caprylhydroxamic Acid,['Chelating Agent'],nan,1.0
Saxifraga Sarmentosa Extract,['Skin Conditioning'],nan,1.0
Scutellaria Baicalensis Extract,['Antimicrobial'],nan,1.0
PEG-60 Almond Glycerides,"['Emollient', 'Emulsifying', 'Skin Conditioning', 'Surfactant']",B,3.0
Althaea Officinalis Leaf/Root Extract,['Emollient'],nan,1.0
Phellinus Linteus Extract,['Skin Conditioning'],nan,1.0
Foeniculum Vulgare (Fennel) Fruit Extract,"['Fragrance', 'Perfuming', 'Skin Conditioning']",nan,1.0
Pancratium Maritimum Extract,['Bleaching'],nan,1.0
Palmitoyl Dipeptide-10,['Skin Conditioning'],nan,1.0
Glutathione,"['Fragrance', 'Reducing']",nan,1.0
Melia Azadirachta Extract,['Skin Conditioning'],nan,1.0
Citrus Aurantium Dulcis (Orange) Flower Oil,"['Astringent', 'Fragrance', 'Masking', 'Skin Conditioning', 'Tonic']",nan,1.0
Citrus Aurantium Dulcis (Orange) Juice,['Skin Conditioning'],B,1.0
Salvia Sclarea (Clary) Extract,[''],nan,1.0
Tricaprylin,"['Emollient', 'Fragrance', 'Masking', 'Skin Conditioning', 'Solvent']",A,1.0
Silybum Marianum Seed Oil,['Skin Conditioning'],A,1.0
Cinnamomum Cassia Leaf Oil,"['Denaturant', 'Masking', 'Perfuming']",nan,1.0
Citrus Aurantium Amara (Bitter Orange) Peel Extract,[''],B,2.0
Sorbeth-30 Tetraoleate,"['Emulsifying', 'Surfactant']",B,1.0
Lavandula Angustifolia (Lavender),"['Fragrance', 'Masking', 'Skin Conditioning', 'Tonic']",nan,1.0
Anhydroxylitol,"['Humectant', 'Skin Conditioning']",nan,1.0
Xylitylglucoside,"['Humectant', 'Skin Conditioning']",nan,1.0
Physalis Alkekengi Fruit Extract,['Skin Conditioning'],nan,1.0
Carica Papaya (Papaya) Leaf Extract,[''],nan,1.0
Diethylhexyl Succinate,"['Emollient', 'Film Forming', 'Plasticizer', 'Skin Conditioning', 'Solvent']",A,1.0
